BAM	ID	BADgroup	ASBgroup	Extra1	Extra2
MCF10AsiSIER_4OHT2h_BLISS_rep1.sorted.bam	BAM00001	bliss	BLISS	BLISS	4OHT2h_BLISS_rep1
MCF10AsiSIER_4OHT2h_BLISS_rep2.sorted.bam	BAM00002	bliss	BLISS	BLISS	4OHT2h_BLISS_rep2
MCF10AsiSIER_4OHT2h_BLISS_rep3.sorted.bam	BAM00003	bliss	BLISS	BLISS	4OHT2h_BLISS_rep2
MCF10AsiSIER_4OHT2h_gH2AX_chip.sorted.bam	BAM00004	chipseq	histone	ChIP-seq	gH2AX_4OHT2h
MCF10AsiSIER_4OHT2h_NBS1_rep1_chip.sorted.bam	BAM00005	chipseq	repair-protein	ChIP-seq	NBS1_4OHT2h_rep1
MCF10AsiSIER_4OHT2h_NBS1_rep2_chip.sorted.bam	BAM00006	chipseq	repair-protein	ChIP-seq	NBS1_4OHT2h_rep2
MCF10AsiSIER_4OHT2h_RAD51_chip.sorted.bam	BAM00007	chipseq	repair-protein	ChIP-seq	RAD51_4OHT2h
MCF10AsiSIER_4OHT2h_XRCC4_chip.sorted.bam	BAM00008	chipseq	repair-protein	ChIP-seq	XRCC4_4OHT2h
MCF10AsiSIER_DRB_POL2_S5_chip.sorted.bam	BAM00009	chipseq	protein	ChIP-seq	POL2_S5_DRB
MCF10AsiSIER_DRB_XRCC4_chip.sorted.bam	BAM00010	chipseq	repair-protein	ChIP-seq	XRCC4_DRB
MCF10AsiSIER_INPUT_chip.sorted.bam	BAM00011	chipseq	INPUT	ChIP-seq	INPUT
MCF10AsiSIER_NT_BLISS_rep1.sorted.bam	BAM00012	bliss	BLISS	BLISS	BLISS_rep1
MCF10AsiSIER_NT_BLISS_rep2.sorted.bam	BAM00013	bliss	BLISS	BLISS	BLISS_rep2
MCF10AsiSIER_NT_gH2AX_chip.sorted.bam	BAM00014	chipseq	repair-protein	ChIP-seq	gH2AX
MCF10AsiSIER_NT_H3K27ac_chip.sorted.bam	BAM00015	chipseq	histone	ChIP-seq	H3K27ac
MCF10AsiSIER_NT_H3K4m3_chip.sorted.bam	BAM00016	chipseq	histone	ChIP-seq	H3K4m3
MCF10AsiSIER_NT_H3K4me1_chip.sorted.bam	BAM00017	chipseq	histone	ChIP-seq	H3K4me1
MCF10AsiSIER_NT_NBS1_chip.sorted.bam	BAM00018	chipseq	repair-protein	ChIP-seq	NBS1
MCF10AsiSIER_NT_PARP1_chip.sorted.bam	BAM00019	chipseq	repair-protein	ChIP-seq	PARP1
MCF10AsiSIER_NT_POL2_S2_chip.sorted.bam	BAM00020	chipseq	protein	ChIP-seq	POL2_S2
MCF10AsiSIER_NT_POL2_S5_chip.sorted.bam	BAM00021	chipseq	protein	ChIP-seq	POL2_S5
MCF10AsiSIER_NT_RAD51_chip.sorted.bam	BAM00022	chipseq	repair-protein	ChIP-seq	RAD51
MCF10AsiSIER_NT_TOP1_chip.sorted.bam	BAM00023	chipseq	protein	ChIP-seq	TOP1
MCF10AsiSIER_NT_TOPO2b_chip.sorted.bam	BAM00024	chipseq	protein	ChIP-seq	TOPO2b
MCF10AsiSIER_NT_XRCC4_chip.sorted.bam	BAM00025	chipseq	repair-protein	ChIP-seq	XRCC4
