#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	249250621	403326	28915778	11.6011	0.137528	25.3	36.8
chr2	1	243199373	415588	30207836	12.421	0.145236	25.2	36.9
chr3	1	198022430	298206	22006267	11.113	0.12799	25.2	36.9
chr4	1	191154276	205963	15608435	8.16536	0.0915746	25.1	36.9
chr5	1	180915260	297671	21801902	12.0509	0.139842	25.2	36.9
chr6	1	171115067	223495	16449189	9.61294	0.111007	25.2	36.9
chr7	1	159138663	281675	19808024	12.447	0.150432	25.2	36.9
chr8	1	146364022	247889	17915480	12.2404	0.143947	25.2	36.9
chr9	1	141213431	180835	13214731	9.35798	0.108837	25.2	36.8
chr10	1	135534747	267975	19114827	14.1033	0.168042	25.2	36.8
chr11	1	135006516	214877	15613261	11.5648	0.135272	25.3	36.9
chr12	1	133851895	253244	17807241	13.3037	0.160799	25.2	36.9
chr13	1	115169878	91416	7001856	6.07959	0.0674602	25.1	36.9
chr14	1	107349540	191846	13281582	12.3723	0.151888	25.2	36.9
chr15	1	102531392	131891	9576681	9.34024	0.109327	25.3	36.9
chr16	1	90354753	113968	8387794	9.28318	0.107202	25.4	36.8
chr17	1	81195210	216913	14628372	18.0163	0.227052	25.4	36.8
chr18	1	78077248	120164	8839934	11.322	0.130804	25.2	36.8
chr19	1	59128983	132905	9186502	15.5364	0.191031	25.5	36.8
chr20	1	63025520	121900	8837093	14.0215	0.164386	25.4	36.9
chr21	1	48129895	57617	4149401	8.62126	0.10174	25.2	36.8
chr22	1	51304566	98838	6766951	13.1898	0.163732	25.5	36.8
chrX	1	155270560	95993	7474295	4.81372	0.0525445	25.1	36.9
