#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
chr1	1	249250621	4475882	118696372	47.6213	1.52624	34.9	36.9
chr2	1	243199373	4253738	119226647	49.0242	1.48658	34.8	36.9
chr3	1	198022430	2957477	91026331	45.9677	1.26937	34.8	36.9
chr4	1	191154276	1840618	69448652	36.3312	0.818383	34.7	36.9
chr5	1	180915260	2903597	86437714	47.778	1.36409	34.8	36.9
chr6	1	171115067	2226605	72239174	42.2167	1.10595	34.8	36.9
chr7	1	159138663	2924564	75279173	47.3041	1.56193	34.8	36.9
chr8	1	146364022	2535582	70311548	48.0388	1.4724	34.8	36.9
chr9	1	141213431	1990623	55868308	39.563	1.19811	34.9	36.9
chr10	1	135534747	2872408	73544732	54.2626	1.80126	34.9	36.9
chr11	1	135006516	2489111	66989199	49.6192	1.56701	34.9	36.9
chr12	1	133851895	2694686	67921777	50.744	1.71104	34.9	36.9
chr13	1	115169878	864473	33408855	29.0083	0.637954	34.8	36.9
chr14	1	107349540	1928167	48502883	45.1822	1.5266	34.8	36.9
chr15	1	102531392	1492770	40790198	39.7831	1.23742	34.9	36.9
chr16	1	90354753	1417571	41283758	45.6907	1.33344	34.9	36.9
chr17	1	81195210	2724330	52700460	64.9059	2.85172	34.9	36.9
chr18	1	78077248	1166271	36073008	46.2017	1.26956	34.8	36.9
chr19	1	59128983	1893293	38984451	65.9312	2.72141	34.9	36.9
chr20	1	63025520	1504122	36906284	58.5577	2.02838	34.9	36.9
chr21	1	48129895	608788	17030778	35.385	1.07502	34.8	36.9
chr22	1	51304566	1368412	25480189	49.6646	2.26695	35	36.9
chrX	1	155270560	956527	40417980	26.0307	0.523591	34.8	36.9
